2011年大连市第二十四中学体育特长生专项技术测试规定



<table width="100%">
<tr>
<td><div id="contentMidPicAD" style="float:right; clear:both; top:0; vertical-align:top;"></div>
<h4>
	 </h4>
	    2、找一名工作人员根据评分标准进行合分。<br/>
	    五、特别提示<br/>
	    1、田径项目，测试考生，必须达到以下标准，即大连市体育特长生专项技术测试评分标准<br/>
	    男：110米栏----20”0     男800米----2’29”  女跳远---3.8米 <br/>
	    参加三项田径测试考生必须到最低标准，达不到标准取消特长生资格。<br/>
	    2、排球、网球、羽毛球、剑术参加测试考生，身体素质测试和体育专项技术测试两项相加必须达到60分，如达不到60分取消特长生资格。</font></h4>
<h4>
	 </h4>
</td>
</tr>
</table>


