理论中心组学习文章：国际形势评估及展望



<table width="100%">
<tr>
<td><div id="contentMidPicAD" style="float:right; clear:both; top:0; vertical-align:top;"></div>
<p style="text-align: center">
	国际形势评估及展望</p>
	    发达经济体与新兴经济体“双速”增长趋势加剧。发达国家经济进入低速发展时期，复苏乏力，发展模式与制度弊端凸显，发展呈高失业、高财赤、高债务、低增长、低收益、低消费趋势。美国经济缓升，但未脱低增长、高失业困境。欧盟经济与金融困境全球波及效应增大，成为全球复苏脆弱性的主要诱因。欧盟统计署指出，2012年欧盟的增长率将为-0.3%，欧元区的增长率为-0.4%。为摆脱危机，欧盟实行整顿财政、促进增长和深化合作的综合方案，但效果仍存在不确定性。日本经济回升乏力。据OECD评估，2012年西方七国集团的年增长率为1.4%。其中，美国为2.3%，日本为2.2%，德国为0.8%，法国为0.1%，意大利为-2.4%，英国为-0.7%，加拿大为1.9%。<br/>
	    与此同时，尽管新兴经济体整体增长放缓，但仍是世界经济的重要引擎。据IMF预计，新兴市场和发展中经济体的增长率将从2011年的6.2%降至5.75%。但大多数发展中国家仍保持了较快增长。2012年，亚洲的增长率约5.5%，撒哈拉以南非洲的增长超5%，拉美为3.4%。世界银行12月发布的《东亚与太平洋地区经济半年报》指出，东亚与太平洋地区对世界经济变得日益重要， 2012年对全球经济增长的贡献将接近40%。<br/>
	    在经济不景气背景下，美欧设法转嫁危机，对全球复苏和增长带来新挑战。美欧推行货币量化宽松政策，给新兴经济体带来新一轮流动性过剩冲击和输入型通胀压力。美国推出第三轮量宽政策；欧洲央行向其他银行提供了大量长期流动性，其他央行也采取措施放松货币政策。美欧加强贸易保护主义，美成立“跨部委贸易执法中心”，用以调查他国“不公平贸易行为”，欧试图通过贸易保护措施和绿色关税壁垒提高自身竞争力。中国已成为受害者，光伏产品遭受美欧“双反”。<br/>
	    （三）中东热点联动性增强，西亚北非动荡难以平息<br/>
	    叙利亚危机、伊朗核问题和巴以冲突是2012年中东形势中的三大热点。伊朗与美国和以色列之间维持着微妙的相互制衡关系。<br/>
	    叙利亚局势牵动西亚北非全局。在西方支持下，叙国内反对派力量上升，叙利亚日渐滑向全面内战，仇杀和恐怖事件频发。7月，叙国家安全总部遇袭，国防部长和多位政府部长身亡。12月，反对派被指攻击民航客机。叙境外反对派进行整合，成立了“叙利亚反对派和革命力量全国联盟”，获得法、英、土、美、阿盟、欧盟等承认。巴沙尔政权面临内外交困局面。西方坚持拒绝与叙现政府对话，并不断收紧套在巴沙尔脖子上的绞索。尽管俄罗斯和中国三次阻止联合国安理会通过相关决议，避免西方在安理会获得武力干涉的合法性，重挫西方新干涉主义锐气，但西方推翻巴沙尔政权的目标并未改变，新干涉主义也不会偃旗息鼓。西方大国试图与沙特、土耳其等国绕开联合国实施“倒巴”计划。西方传媒则歪曲事实、推波助澜，夸大叙政府军的“暴行”，美化反对派的“还击”，唱衰国际调停，渲染巴沙尔政权已“风雨飘摇”。同时，沙特、土耳其等国与叙关系继续恶化。伊朗不甘伊叙同盟被毁，通过召开叙利亚问题大会等问题支持巴沙尔政权。叙利亚主要反对派组织对伊朗提出的解决叙利亚冲突的和平倡议予以抨击。<br/>
	    美国企图借以色列威胁动武和国际制裁两股力量，加上叙利亚问题三管齐下，迫使伊朗就范。美国以伊核威胁的紧迫性和防止以色列对伊动手为借口，联手欧盟和沙特对伊实行石油禁运，力图掐断伊石油收入。美对伊制取得一定成效，但尚不足动摇伊政权。在动用经济手段的同时，美加大对伊动武威胁，大幅增加美在海湾地区的兵力部署，摆开对伊随时动武架势；对以色列进行“安抚”，加强美以在伊核问题上的磋商，密切双方军事合作，追加对以军援；向海湾盟国提供大量现金、武器，与地区国家频繁举行军演，筹建地区反伊军事同盟。<br/>
	    形势表明，以色列和土耳其皆成为阿拉伯变局的受害者。阿拉伯国家纷纷伊斯兰化，伊斯兰极端势力进入戈兰高地，哈马斯反击能力增强，巴以战火复燃，恶化了以色列安全形势。土耳其从阿变局最大赢家开始变为失败者，因叙问题遭受经贸损失、难民冲击和库尔德人挑战，苦不堪言。<br/>
	    伊斯兰原教旨主义势力借西亚北非动荡崛起的势头更为明显。该股势力在突尼斯已取得阶段性胜利，在埃及正逐步掌控政权。未来，阿尔及利亚、也门等国的相关势力也可能坐大。一方面，伊斯兰原教旨主义势力上升将改变西亚北非国家的政治生态。在原教旨主义势力掌权的国家，政治、经济、社会发展均呈现保守化趋势。该股势力坚持伊斯兰教理和教法，致力于“改造”穆斯林社区，世俗主义及其生活方式难免遭遇挑战。同时，相关国家的对外政策也将转向，与美引导变革的初衷背道而驰。<br/>
	    除伊斯兰原教旨主义势力崛起外，西亚北非国家还面临多重困境。多数国家经济继续下滑，民生更加艰难；广场政治和国内冲突不断，社会动荡难以平息。另外，一些动乱后国家的国内稳定仍存在不确定因素。利比亚面临部落分治危险。利比亚部落众多、宗族利益盘根错节，一些部落间的矛盾在国家重建过程中并未得到妥善解决。自2011年10月利比亚“全国过渡委员会”宣布全国解放以来，各地的零星武装冲突并没有随之结束。一些地区的部族武装和民兵组织始终不愿上交武器并接受整编。利比亚执政当局一直努力采取措施，加强对部落武装的控制，但收效并不明显。年内多次爆发部族冲突，造成人员伤亡。8月，中部地区两大部族成员之间的争斗演变为这两大武装团体的全面战争。在也门，总统下台后，南北两方分离倾向愈演愈烈，“基地”组织活动猖獗。8月，也门阿比扬省贾尔镇发生严重的炸弹袭击事件。总之，西亚北非大变局虽告一段落，但仍在酝酿新的动荡<br/>
	    （四）美推进“亚太再平衡”，但受到多重矛盾制约<br/>
	    2012年，美国有意淡化“重返”亚洲，而代之以“亚太再平衡”战略。1月5日公布的新军事战略报告、1月24日奥巴马发表的国情咨文以及6月2日美防长帕内塔在第11届香格里拉对话会上发表的演讲都明确，美将对关注重点进行“再平衡”，将重心转向亚太地区。经过一系列调整，美亚太新战略在2012年基本成型。<br/>
	    “再平衡”突出表现在美强化其在亚太的军事存在。首先，美致力于加强军事部署。美国防部长帕内塔宣布，将把60%的军舰部署到亚太。根据2011年年底与澳大利亚达成的协议，美开始在达尔文派驻海军陆战队。美12架“鱼鹰”侧旋翼飞机进驻日本冲绳，宣布将在冲绳部署F-35隐形战斗机和“海神”反潜巡逻机。美宣布向新加坡派驻4艘濒海战斗舰，推动重启速比和海军基地。美还计划将反导系统延伸部署到亚洲，建立美日韩和美日澳“新反导壁垒”。其次，美构筑网络化军事关系，确保跨区域军事介入能力。美以部队轮换或租用等方式进入苏比克、金兰湾、樟宜等要地。美还试图构筑美日韩“三边军事同盟”。在拉近与传统同盟关系的同时，美还开拓与新伙伴的关系。3月，北约与蒙古国正式签署了合作伙伴协议，为进一步拓展双方合作关系奠定了法律基础。最后，美与更多的亚太盟友进行名目繁多的军演，频率与规模系多年来罕见。上半年，与泰国进行的“金色眼镜蛇”军演是亚太地区迄今规模最大的多国军演。美还邀请缅甸以观察员的身份参与2013年度的“金色眼镜蛇”军演。<br/>
	在经济领域，美“再平衡”的主要举措是推动跨太平洋伙伴关系协议（TPP）。2012年，墨西哥和加拿大加入了TPP，泰国宣布将参加谈判。美还向缅甸、柬埔寨等国抛出经贸诱饵。<br/>
	    在外交方面，美在维系与日、韩等传统盟友关系的同时，更加照顾印度、印尼、马来西亚、蒙古等国自尊心，并开始拉拢一批小国。例如，希拉里首次访问南太平洋岛国，出席岛国论坛。美还积极采取多边外交行动，以亚太经合组织和东亚峰会为两大抓手，努力打造其主导的地区经济、政治与安全架构，企图塑造对其更加有利的地缘战略格局，谋取更大利益和影响。<br/>
	然而，美国在推进“亚太再平衡”战略过程中，面临以下矛盾，并难以摆脱其束缚：<br/>
	    其一，美一脚陷在中东，一脚迈向亚太，难以做到东西兼顾。国际国内因素决定了美仍要把很大精力投放中东和欧洲、乃至非洲，在“东张”同时还须“西望”。例如，尽管奥巴马已获连任，但仍无法忽视美国裔犹太人的诉求和影响，顾及和以色列的关系，重视对中东的政策和投入。<br/>
	    其二，美一方面抱有很高的战略企图，一方面战略支出颇受限制，难以使二者匹配。“财政悬崖”等问题使国防开支遭受削减压力。2011年两党围绕债务上限谈判时附加了一个未来10年削减1.2万亿美元政府开支的条件，而两党代表组成的减赤“超级委员会”未能就如何削减政府开支达成协议。“自动削减机制”将于2013年初启动，国防开支将承担一半削减。虽然美国因在2013年1月初通过法案而避开“财政悬崖”，但该法案最大的亮点却在于“拖延”而非“解决”问题，鲜有提及解决难度最大的削减开支问题。美国五角大楼财务总监罗伯特?黑尔表示，如果国会在3月1号之前没有就一系列开支问题达成妥协，那么前不久达成的“财政悬崖”临时决议就会致使2013年国防开支缩水达450亿美元。另外，美国内利益集团、国会等日益制约政府财政，美政治“极化”日益显现。美政府欲加强投入也力不从心。部分伙伴国已开始抱怨美国的军援是“小额施舍”。<br/>
	    其三，美“亚太再平衡”旨在满足其私利和权欲，这与地区国家追求发展与合作的目标相背离，难以使二者调和。美“战略东移”、“重返”亚洲或搞“亚太再平衡”，皆为争权夺利而来，旨在攫取地区事务主导权，而决非为分权和让利而来，不会将主导权拱手相让，甚至会颐指气使。这显然与东盟等国家维护地区稳定、推进地区合作、谋求共同发展的诉求和努力背道而驰。<br/>
	其四，美“亚太再平衡”既要加强对中国的防范与制衡，又离不开对中国的借重与合作，难以使二者并行不悖。中国以两手对两手，加剧美两面性的内在矛盾。针对中美交锋，东盟等地区国家不愿看到中美关系恶化使其从“左右逢源”变为“左右为难”，明确表示不愿在中美之间选边站队。随着综合国力的增长，加上难以撼动的地缘、经贸、历史和文化等优势，中国的地区影响力不减反增，美国制衡中国愈发困难。同时，中国促美合作的手段与筹码也在增加。<br/>
	    （五）中国国际地位提升，但面临更严峻的周边形势<br/>
	    总体看，国际格局正朝着有利于发展中国家的方向发展。发展中国家尤其是新兴经济体在世界经济、政治和全球经济治理等领域的力量都在上升。2012年，中国作为最大发展中国家，国际影响力继续扩大，在推动国际关系民主化、促进全球经济治理等方面发挥了更重要的作用。与此同时，2012年中国周边环境中的负面因素明显上升，中国面临更大外部压力。<br/>
	    领土争端是中国周边安全面临的主要挑战。部分地区国家受到美国“再平衡”态势鼓舞，挑战中国领海主权的胆量与步伐加大。<br/>
	    在东海，日本对钓鱼岛采取单方面行动，导致紧张态势急剧。升温。4月，东京都知事石原慎太郎提出东京都将于年内购买钓鱼岛。7月，日本政府抛出所谓的钓鱼岛“国有化”计划，并随后启动相关进程。尽管中国坚决反对并严正交涉，日本政府仍于9月与钓鱼岛所谓的“土地权所有者”签订了“购岛”合同，完成了所谓的“国有化”进程。<br/>
	    日本极力否认钓鱼岛存在主权争议，并采取各种手段宣示“主权”。8月，日本众议院通过决议，称钓鱼岛是日本领土，谴责香港“保钓”人士此前登岛行为。9月，多名日方人员以防止台湾“保钓”人员登岛为名非法登上了钓鱼岛。<br/>
	日本还极力争取域外势力的支持。2010年中日撞船事件后，美国国务卿希拉里在与日本外务大臣前原诚司举行会谈时表示，钓鱼岛适用于日美安保条约范围之内。2012年，日本又数次与美确认这一“保证”。11月，美国参议院全体会议决定，在2013财年“国防授权法案”中加入补充条款，明确规定钓鱼岛是《日美安保条约》第五条的适用对象。10月，日外相玄叶光一郎出访法、英、德，加强对钓鱼岛问题的宣传，企图获取欧洲国家的支持。<br/>
	    在南海，菲律宾和越南在争夺南海主权方面更具挑衅性。4月，菲动用军舰武力袭扰中国渔民，引发黄岩岛事件。此后，菲不断提出外交抗议，要求中国船只撤出黄岩岛海域，先后“重新命名”黄岩岛和南海。越南公务船在南海追扰正常作业的中国渔船，空军战机对南沙群岛岛礁进行所谓“巡逻侦察”。越国会审议通过了《越南海洋法》，把中国西沙群岛和南沙群岛包含在其所谓“主权和管辖范围”内。<br/>
	    菲、越除使用上述手段不断试探中国底线外，更变本加厉地推动南海问题国际化。首先，菲律宾拉域外势力介入以获取安全支持的力度明显加大。黄岩岛事件发生后，菲总统高调访美。两国总统会谈后，白宫发表声明称，美将通过增加联合军演、训练项目等方式帮助菲提升军事水平，建立“最低限度的可靠防御能力”。美菲举行了外长和防长“2+2”会谈。双方表示将合作开展菲海上安全能力建设。美重申对《美菲共同防御条约》、海上航行自由和地区安全所做承诺，并承诺将向菲赠送第二艘军舰。<br/>
	    其次，南海问题东盟化的趋势尤为明显。菲律宾和越南要求东盟国家划线站队。因菲律宾刻意要将黄岩岛事件写进公报而引发争议，致使东盟外长会议有史以来首次未能发表《联合公报》。在菲、越推动下，部分东盟国家对南海问题关注度提升，推动制定“南海各方行为准则”。在7月的东盟外长会议期间，部分东盟国家建议启动商谈。9月，印尼在第67届联合国大会期间，向参会的东盟各国传阅“南海行为准则”草案。在11月举行的东盟和东亚系列峰会期间，南海问题再次成为焦点议题。东盟秘书长素林称，东盟一致希望与中国进行关于南海行为准则的正式谈判。<br/>
	    2012年，中国周边反恐形势依然严峻。阿富汗塔利班（阿塔）受到北约从阿撤军鼓舞，接连发动了春季攻势和夏季攻势，既对阿富汗、巴基斯坦世俗政权构成威胁，也威胁到中国西部安全。4月，阿富汗首都多个地点几乎同时遭到袭击，包括美国等西方国家驻阿大使馆、阿富汗议会、北大西洋公约组织基地等。事后，阿塔宣称，袭击标志着塔利班“春季攻势”的开始。塔利班与阿富汗和北约部队在喀布尔市区内发生激战。5月，阿塔又发动新一轮春季攻势，多次袭击北约驻阿国际安全援助部队、阿富汗安全部队和政府高级官员。8月，一伙塔利班武装分子袭击了北约驻扎在阿富汗东部的北约士兵，开启了夏季攻势。<br/>
	    地区军控形势不容乐观。4月，朝鲜发射卫星。尽管失败，但仍引起美韩强烈反弹。12月，朝鲜再次射星获得成功，引发相关国家又一轮反应。美国和韩国已达成协议，将韩弹道导弹射程延长。印度试射“烈火-5”远程导弹，加大军购力度，引起巴基斯坦警惕和担忧。越南和菲律宾为争夺南海主权，加紧采购和部署海空装备。<br/>
	    另外，西方国家拉拢中国周边国家的力度明显加大。缅甸成为西方重点染指的对象。美国与缅甸复交，部分解除制裁。奥巴马总统访问缅甸，是有史以来美国在任总统首次踏足该国。英国和日本在经济援助和免除债务等方面积极承诺。部分欧洲国家计划增加对缅投资，加强与新加坡、泰国、菲律宾的经贸关系。欧盟欲调解泰国南部和菲律宾国内武装冲突。蒙古与北约签署合作伙伴协议，加入欧安组织。乌兹别克斯坦退出集安组织，为美国在该国设立军事基地开辟道路<br/>
	    二、未来形势<br/>
	    展望未来，国际形势仍将深受金融危机发酵、美国推进“再平衡”战略和西亚北非动荡三大问题困扰，但和平、发展、合作的时代潮流依然强劲。2013年，国际格局演变新动向、世界经济复苏与发展新态势、地区热点与国际争端及其处理的新情况等，都颇为值得关注。中国国际地位和影响力将继续提升，与此同时，外部环境仍将呈现更加复杂严峻的一面。面对“树大招风”和“树欲静而风不止”的周边形势，中国将沉稳而坚定地加以积极应对，做好“维稳与维权动态平衡”这篇周边外交大文章。<br/>
	    （一）大国关系调适推进，国际格局继续演变<br/>
	随着2012年“世界大选年”尘埃落定，包括美国、中国、日本等国在内的新政府将开始治国理政和发展对外关系。各大国将在外交上做出必要调整，以适应内外新情况，大国关系有望继续保持总体稳定。中美关系虽然面临战略互疑等问题，但有望稳中求进，双方将力争“开好局”、“起好步”，妥善处理各种分歧，推进合作伙伴关系。中俄战略协作伙伴关系将继续巩固和发展。中欧合作将继续推进，相互借重将进一步加强。中日关系则有不少变数，主要取决于安倍政府是否谨言慎行，是否真正维护中日关系大局。俄美、俄欧、俄日关系有望改善和发展。日美同盟关系将继续加强。随着印度洋的崛起，美印将增强相互借重并推进伙伴关系。金砖国家合作将继续深化，并在南非书写新的历史篇章。与此同时，大国对抗性战略博弈仍会时有表现。中俄仍将坚决反对新干涉主义，防止西方在叙利亚复制“利比亚模式”。各大国在西太平洋—印度洋的战略博弈将呈加剧之势，东盟、南中国海和印度洋地区的战略地位将更显突出。随着美、中、韩、日新政府上台，东北亚格局进入调整变化新阶段。若包括朝鲜在内的各方展示积极姿态，创造更多有利条件，开启和平合作的“机会之窗”，六方会谈或有望重启。否则，恐将引发新一轮紧张与对抗，不排除出现恶化地区局势的大动作或严重事件。可以肯定的是，2013年的世界仍将见证国际格局如下演变态势：经济上“东兴西衰”，全球治理上“南升北降”，但不足以撼动政治、安全上的“西强东弱”和国际话语权的“北高南低”。<br/>
	    （二）发达经济与新兴经济“双速”增长态势将更为明显<br/>
	    权威机构和众多分析人士对2013年的世界经济前景并不乐观。联合国报告《2013年世界经济形势与展望》指出，2012年度的世界经济增长势头已经在很大程度上趋弱，预计在未来2年间仍将持续减弱。2013年全球经济增长率预期为2.4％，2014年预期为3.2％，这两项数字与联合国半年前的预测相比出现大幅下滑。<br/>
	    发达经济体前景不明，将继续影响全球经济信心。日本震后经济短期V型反弹，中长期依然为L型，低迷趋势难改。美国恢复能力较强，经济形势好于欧日，但能否解决“财政悬崖”、及时提高联邦债务上限、显著推进旨在恢复财政可持续性的全面计划尚不确定。长期看，复苏疲软可能成为美经济“新常态”。欧债危机的溢出效应仍在显现。欧元区尽管处于选择的十字路口，但鉴于一旦欧元区取消对欧盟伤害深远，因此，相关国家更可能选择紧密团结、联合图强的道路。<br/>
	    新兴经济体发展面临挑战，但后发优势依然具备，依然是世界经济重引擎。新兴经济体需应对欧债和美债影响，寻找新的投资来源，改善经贸环境。发展中国家抱团取暖意识增强，南南经贸关系将更为紧密。随着南非举办金砖国家峰会，非洲热将升温，非洲发展与合作有望呈现新势头，其在全球经济版图中的重要性将更加凸显。<br/>
	    （三）西亚北非酝酿新动荡<br/>
	    叙利亚目前已成为阿拉伯变局的刹车器。僵持状态可能会在较长时间内继续，国际干预仍难成现实，巴沙尔下台可望不可及。叙利亚局势将继续牵动西亚北非全局。伊朗重视伊叙同盟，一再警告外国不要军事干涉叙利亚，并积极参与致力于解决该国危机的政治努力。西方如武装推翻巴沙尔政权很可能招致伊朗的报复。而叙利亚乱局还将产生“溢出效应”。一旦叙利亚局势失控，黎巴嫩、伊拉克乃至约旦都可能随之陷入内乱。<br/>
	    海湾国家有可能避免变局，但约旦仍面临动荡风险。埃及、突尼斯政权更迭后政治过渡基本平稳，但国内的固有矛盾尚未解决，斗争失控的可能性依然存在。<br/>
	    伊斯兰原教旨主义势力抬头可能会改变地区斗争版图。尽管近年来美致力于在中东地区拼凑遏制伊朗的联盟，但伊斯兰原教旨主义掌权下的埃及能否继续配合美遏伊政策系未知数。例如，在与以色列关系上，埃及立场可能发生变化。从目前情况看，埃及正在巴以关系中发挥更加积极的作用，未来可能在巴以和谈方面会更多支持哈马斯的强硬立场，并向阿巴斯施压，迫使其配合哈马斯的政策。<br/>
	    伊朗核问题将长期存在，美伊将同时在核问题、叙利亚和巴以冲突三个领域纵横捭阖，展开错综复杂的博弈。迹象表明，在2013年以色列提前进行的大选中，内塔尼亚胡将轻易胜出，地位将随之加强。内再次当选后战争因素会升高。但他面临两大阻力:一是以内部势力强大的亲美集团；二是以经济困难。“聚焦伊朗”仍将是美中东政策的核心。在经济复苏无力情况下，发动对伊战争是美难以承受的。奥巴马政府很可能选择：一是加大对伊制裁力度，逼其在核谈判中让步；二是加紧叙政权更迭，进一步削弱伊朗；三是阻止伊插手巴以冲突，通过沙特和阿盟切断哈马斯与伊朗的联系。<br/>
	    （四）美将更均衡地实施“亚太再平衡”<br/>
	    第二届奥巴马政府的全球战略将保持很大连续性，包括大力推进出口，推动跨太平洋伙伴关系协定，按既定时间表从阿撤军，巩固美联盟体系，实行“亚太再平衡”战略。<br/>
	尽管美受国内经济等因素制约，但“再平衡”将是可持续的战略。一方面，美将整合国内资源，继续将资源投入向亚太地区倾斜。另一方面，美将更加依靠地区盟友和伙伴，鼓励这些国家发挥作用，同时推动东亚峰会等地区机制实现功能化，以减轻美资源投入压力。<br/>
	    在操作层面，美已经将军事含义明显的“战略转移”改称为“战略再平衡”，未来将更加注意降低调门，强调“再平衡”是从政治、经济和军事等方面全面接触亚洲的综合性战略，并非仅限于军事。<br/>
	未来，美在加大对华防范的同时会加大对华投入和合作。美不会放弃塑造中国的意图，但同时，美认识到，难以在亚太构筑中国“包围圈”。因此，美将试图化解中国的疑虑和担心，并希望更深入地了解中国提出的“新型大国关系”理念，探索两国在亚太开展合作的可能性与方式。<br/>
	    （五）中国将积极应对更加复杂多变的周边挑战<br/>
	    随着中国实力和影响力的提升，周边国家对中国发展前景和道路的疑虑和担心难免增加。尤其是与中国有领土争议的国家，可能因为担心“时间在中国一边”而加快争夺的步伐。日本自民党上台，政治保守化趋势加剧，并会更加倚重美国的支持。菲、越在加强自身手段的同时，很可能更为卖力地推动南海问题东盟化和国际化。<br/>
	    但东海和南海争议仍“危中有机”。美国仍将维持“表面中立”，声称在钓鱼岛问题上不支持日中任何一方。东盟和东盟内部的非声索国也避免南海问题上“站队”。即使是身为声索国的马来西亚和文莱，态度也会较为谨慎。中国将继续推动建设和谐周边，并通过“维稳与维权动态平衡”应对周边挑战。<br/>
	    中国将继续尊重东盟在地区合作中发挥主导作用，支持“东盟共同体”的建设和《区域全面经济伙伴关系协定》（RCEP）的推进，同时努力巩固和发展与各国的友好合作关系，妥善解决分歧和争端。在南海问题上，中国认为，南海问题不是中国与东盟间的问题，而是中国与声索国之间的问题。中国将与印度等尚未解决边境问题的邻国继续通过友好协商的方式最终解决问题。另外，中国将继续推动上海合作组织等机制的稳步发展。</p>
</td>
</tr>
</table>


