大连市教育局党委发展党员工作实施细则（试行）



<table width="100%">
<tr>
<td><div id="contentMidPicAD" style="float:right; clear:both; top:0; vertical-align:top;"></div>
<p align="center">
<strong>大连市教育局党委发展党员工作实施细则<br/>
	（试行）</strong></p>
	    （二）积极参加党、团组织开展的各项活动，工作认真，踏实肯干，有一定的工作能力，在同学中有较高威信；<br/>
	    （三）认真学习各科文化知识，学习态度端正，学习成绩优秀，原则上学习成绩应列年级前三分之一；<br/>
	    （四）提交入党申请书10个月以上；<br/>
	    （五）最近一年内获得校以上表彰或奖励一项以上。<br/>
	    “推优”的全程工作要在学校党组织的指导下进行，具体程序是：<br/>
	    （一）在学校党、团组织和班主任的指导下，团支部召开支委会，根据“推优”条件拟定符合“推优”条件的团员名单。<br/>
	    （二）在学校党、团组织和班主任的指导下，组织召开本班团员大会，到会人数应不少于实有团员总数的4/5。与会团员对符合“推优”条件的团员进行民主评议。民主评议的程序为：（1）支委会介绍符合“推优”条件的团员情况；（2）符合“推优”条件的团员进行个人总结；（3）与会团员进行民主评议并进行无记名投票，票数超过到会人员半数以上者，确定为“推优”候选人。<br/>
	    （三）团支部形成“推优”候选人的推荐意见，并填写《优秀团员入党推荐考核表》，报本校团委审定。<br/>
	    （四）学校团委根据“推优”条件严格审核，并签署意见加盖公章后上报学校党组织。<br/>
	第十五条  高中学生计划在高三年级发展的，应在高二年度上学期的11月底前确定为入党积极分子。<br/>
	第十六条  党支部应对入党积极分子进行考察,每半年一次，并将考察情况填入《入党积极分子考察登记表》。    对入党积极分子考察的内容包括：<br/>
	    （一）入党动机：看其是否真正具有为共产主义事业奋斗终身的决心；<br/>
	    （二）政治觉悟：看其是否拥护党的路线、方针、政策，在大是大非面前，是否立场坚定，旗帜鲜明；<br/>
	    （三）思想品质：看其是否能吃苦在前、享受在后，正确对待利益问题，克己奉公，对党忠诚老实，言行一致，敢于同不良行为作斗争，作风正派；<br/>
	    （四）工作实绩：看其在工作、学习和社会活动中所作的贡献。<br/>
	    第十七条  对入党积极分子可采用下列方法进行考察：<br/>
	    （一）日常考察，即在日常生活、工作中通过谈话或向群众了解积极分子的现实表现；<br/>
	    （二）任务考察，即有目的地分配给积极分子一些工作和任务，观察其表现；<br/>
	    （三）活动考察，即吸收积极分子参加党组织的一些活动，了解他们的心得体会、思想反映；<br/>
	    （四）关键考察，即观察和了解积极分子在关键时刻和大是大非问题面前的态度和行为。<br/>
	    第十八条  入党积极分子确定后，党组织在考察的基础上，每半年对积极分子队伍状况进行一次全面分析和排队，把新涌现的积极分子吸收进来，把不具备积极分子条件的调整出去，始终保持积极分子队伍有一定数量和较高素质。<br/>
	    第十九条  入党积极分子经一年以上培养、教育和考察，在听取党小组、培养联系人和党内外群众意见后，基本符合入党条件的，经支委会（不设支委会的支部大会）讨论同意，党支部可以将其列为发展对象（党总支下属支部应报总支批准）。<br/>
	    第二十条  到高三年级年满18周岁（计算日期截止当年的6月1日）的高中学生入党积极分子可确定为发展对象。确定高中学生为发展对象应该在高三上学期12月底前，此后，学校党组织不得研究确定应届高三年级学生为发展对象。<br/>
	    第二十一条  征求群众意见，应由党支部负责人召开群众座谈会，并进行无记名测评。其要求为：<br/>
	    （一）宣传发动。召开座谈会时，党支部负责人应将开会目的、入党积极分子的基本情况、入党的条件和要求等向与会群众进行说明，动员和启发与会群众对积极分子的思想和工作表现等情况充分发表意见；<br/>
	    （二）参加人员范围。原则上应邀请积极分子所在部门或年级组的党外群众全部参加座谈会（高中学生积极分子所在班级全体班科任教师和不少于1/3的同学代表参加座谈会），如本单位党外群众人数较少，也可全部参加；<br/>
	    （三）测评方式与要求。党支部要认真听取、如实记录群众对申请人的意见，并向每位参与座谈的群众发放测评表，对积极分子的综合表现（好、中、差）及是否具备入党条件进行无记名测评。支委会对群众的意见和无记名测评的结果要进行实事求是的分析、综合，形成综合性的征求群众意见材料，作为培养教育和考察材料之一，并以适当方式向积极分子反馈。<br/>
	    对无记名测评时获赞成票数不超过与会人数70%的，应适当延长培养教育时间，确定为发展对象要慎重。<br/>
	    第二十二条  党支部对发展对象要进行政治审查。政治审查的主要内容是：<br/>
	    （一）本人对党的路线、方针、政策的态度及现实表现；<br/>
	    （二）本人的政治历史和在重大政治斗争中的表现；<br/>
	    （三）直系亲属和与本人关系密切的主要社会关系的政治历史情况，包括“文革”期间和1989年的政治风波中的表现以及是否参加“法轮功”等邪教组织等。<br/>
	    政治审查的基本方法是：同本人周围同志谈话、查阅有关档案材料、对以前的工作单位及居住地党组织进行必要的函调。政治审查要形成综合性政审材料，未经过政治审查不能发展入党。<br/>
	    第二十三条  组织发展对象参加短期集中培训，时间一般为５至７天（或不少于四十个学时）。没有经过党校培训的，不能发展入党；培训考试不合格的，不能发展入党。<br/>
	    入党积极分子或发展对象调离或升学后，党支部应将其有关培养材料转至所到单位党组织。<br/>
	    第四章    预备党员的接收<br/>
	    第二十四条  党支部（含党总支）拟接收预备党员应先报局党委工作部审批，并提交下列材料：<br/>
	    （一）发展对象的入党申请书；<br/>
	    （二）发展对象的《优秀团员入党推荐考核表》（28周岁以下发展对象提供）；<br/>
	    （三）发展对象的《入党积极分子考察登记表》；<br/>
	    （四）发展对象的思想汇报（不少于两份）； <br/>
	    （五）发展对象的政审材料；<br/>
	    （六）发展对象的党课培训合格证；<br/>
	    （七）征求群众意见及无记名测评情况；<br/>
	    （八）《发展对象公开情况报告》；<br/>
	    （九）党支部对发展对象的综合审查报告（包括发展对象的自然情况、综合表现、支委会意见等）。<br/>
	    第二十五条  局党委工作部审查通过后下发《入党志愿书》，由发展对象邀请或由党支部指定两名符合条件的正式党员作入党介绍人。入党介绍人指导发展对象填写《入党志愿书》。支委会对发展对象填写的《入党志愿书》和有关材料要进行严格审查，经集体讨论认为合格后再提交支部大会讨论。<br/>
	    第二十六条  接收预备党员的支部大会应按以下程序进行：<br/>
	    （一）支部宣读名单；<br/>
	    （二）申请人汇报对党的认识、入党动机、本人和家庭的基本情况以及需要向党组织说明的问题（志愿书本人填写部分及需要说明的问题）；<br/>
	    （三）入党介绍人介绍发展对象的情况，对申请人是否具备党员条件说明；<br/>
	    （四）支委会发表对发展对象的审议意见和确定发展情况；<br/>
	    （五）大会讨论，到会所有党员（含预备党员）对发展对象能否入党充分发表自己的意见，介绍人和申请人可作必要解答；<br/>
	    （六）党员表决，做出决议。到会正式党员采取无记名投票的方式进行表决，按少数服从多数的原则，由支部书记宣布支部大会决议；<br/>
	    （七）申请入党人对支部大会的决议表示自己的态度。<br/>
	    第二十七条  有表决权的正式党员实到会人数超过应到会人数的二分之一，才能召开支部大会讨论及投票表决接收预备党员。赞成票超过应到会有表决权的党员的半数以上，方为有效（因故不能到会的党员会前正式向支部提出书面意见的，应统计在票数之内）。讨论两个或两个以上发展对象入党时，必须逐个进行讨论，投票表决。<br/>
	    接收预备党员的支部大会，可以邀请部分入党积极分子和发展对象列席会议。<br/>
	    第二十八条  无记名投票表决由支委会负责组织实施。举行无记名投票表决时需分别设立监票员、计票员，由本支部党员中有表决权的正式党员担任。监票员、计票员（须符合回避要求）由支部大会主持人提名，并由有表决权的正式党员举手表决通过产生。投票结束后，应立即计票，并向支部大会公布计票结果。支部向党委报告支部大会决议时，应将计票结果报告单复印件作为附件一并报告。<br/>
	    第二十九条  对赞成票数未过半数的发展对象，半年内不得再次提交支部大会讨论发展为预备党员，但要做好思想工作，继续跟踪培养教育和考察。待发展对象条件成熟时，再召开支部大会表决。<br/>
	第三十条  党支部应及时将支部大会决议填写在《入党志愿书》上，连同其它材料一并报局党委工作部审查后，提交局党委审批。<br/>
	    第三十一条  局党委审批前，要指派专人同发展对象谈话。谈话人应将谈话情况和自己对发展对象能否入党的意见，如实填入《入党志愿书》。<br/>
	    第三十二条  在收到党支部上报材料后的三个月以内，局党委召开党委会审批接收预备党员。<br/>
	    第三十三条  党委审批的意见要填入《入党志愿书》，并及时以书面形式，通知报批的党支部。党支部接到批准通知后，应及时通知本人，告知其预备期的起、止时间。党支部接到未被批准的通知后，也要通知本人，并做好思想工作。<br/>
	    第五章    预备党员的教育、考察和转正<br/>
	    第三十四条  预备党员必须面对党旗进行宣誓。入党宣誓仪式由基层党委或党总支（党支部）组织进行。<br/>
	    第三十五条  党支部应及时将党委批准的预备党员编入党小组，收缴党费，通过党的组织生活和实际工作锻炼以及听取本人汇报、个别谈心、集中培训等方式，对预备党员进行教育和考察。<br/>
	    第三十六条  党支部每学期要对预备党员的表现情况进行一次分析、研究，有针对性地加强教育，并且每季度填写一次《预备党员鉴定表》。<br/>
	    预备党员调动工作时，调出单位党支部应将《入党志愿书》、教育培养情况等材料转给调入单位党组织。<br/>
	    第三十七条  预备党员预备期满后，党支部应及时讨论其能否转为正式党员，讨论预备党员转正按以下程序进行：<br/>
	    （一）本人提出书面转正申请；<br/>
	    （二）党小组讨论并提出意见；<br/>
	    （三）党支部听取党内外群众的意见；<br/>
	    （四）支委会审查通过；<br/>
	    （五）对拟转正的预备党员进行公示；<br/>
	    （六）支部大会讨论、表决并形成决议；<br/>
	    （七）报局党委审批（党总支下属支部须经总支审核同意）。<br/>
	    第三十八条  预备党员的转正申请书，一般应在预备期满前30天内，主动交给党支部。转正申请书应包括下列主要内容：<br/>
	    （一）预备期的起止时间；<br/>
	    （二）本人在预备期内的表现及对入党时存在的缺点克服或改正的情况；<br/>
	    （三）在入党时没有向组织上讲明的，或者在预备期内发生的要向组织上说明的问题；<br/>
	    （四）今后努力的方向。<br/>
	    第三十九条   对到本单位时间不长、党员群众对其尚不够了解的预备党员，可适当推迟讨论转正问题，但不影响按期转正。<br/>
	    第四十条  预备党员转正的票决程序和办法是：与会党员在听取预备党员的汇报、入党介绍人对预备党员预备期的培养教育情况及意见、支委会对预备党员预备期的审议情况等报告后，充分发表意见，对预备党员能否转正进行讨论。在充分讨论的基础上，采取无记名投票的方式进行表决。投反对票或弃权票的，需在“备注”栏中说明理由。<br/>
	    无记名投票表决的组织和要求同接收预备党员。支部大会的决议应及时填入《入党志愿书》。<br/>
	第四十一条  对赞成票数未过半的预备党员，支部大会须采取无记名投票表决形成“延长预备期”或“取消预备党员资格”决议。对没有通过的转正对象投“延长预备期”票多于或等于“取消预备党员资格”票的，定为“延长预备期”，少于时则定为“取消预备党员资格”。<br/>
	    第四十二条  在提请局党委审批预备党员转正时，须向局党委工作部呈报以下材料：<br/>
	    （一）预备党员的《入党志愿书》及其它材料；<br/>
	    （二）预备党员的转正申请书；<br/>
	    （三）公示及党小组、党内外群众意见的综合材料；<br/>
	    （四）投票计票单复印件。<br/>
	    第四十三条  局党委对上报的预备党员转正材料，应在３个月内讨论审批，并以书面形式通知党总支（党支部）。党支部将党委审批结果在党员大会上宣布。<br/>
	    预备党员转正后，党支部书记要与本人谈话，告知党龄的起算时间，并提出希望和要求。<br/>
	    第四十四条  预备党员转正后，应将其《入党志愿书》等材料存入本人的人事档案或学籍档案。<br/>
	    第六章    发展党员的公示<br/>
	    第四十五条  为了在发展党员工作中更广泛充分地听取党内外群众意见，接受群众监督，实行发展党员公示制度。<br/>
	    第四十六条  发展党员实行两次公示，对象为：拟接收为预备党员的发展对象；拟转为正式党员的预备党员。公示时间均安排在召开支部大会之前进行，期限一般为7天。<br/>
	    第四十七条  公示内容应包括：公示对象的姓名、性别、出生年月、民族、文化程度、政治面貌、工作单位、现任职务、职称等情况；公示对象的申请入党时间、被列为入党积极分子时间；公示的期限、要求及联系电话等。<br/>
	    公示范围一般为公示对象所在的部门、单位或学校，采用张榜公布等形式进行。<br/>
	    第四十八条  公示由公示对象所在基层党委或党总支（党支部）组织实施。公示程序为：<br/>
	    （一）基层党委或党总支（党支部）发公示通知、召开会议或张榜公布公示内容。<br/>
	    （二）局党委工作部和所在基层党委或党总支（党支部）共同受理群众意见，期限与公示时间相同。原则上只受理署名或当面反映的意见，对内容具体、线索清楚的匿名反映，也要受理核实。对反映意见者的情况要严格保密，保护反映意见者的合法权益。<br/>
	    （三）局党委工作部调查核实问题，在公示结束后10个工作日内完成。调查结果应向反映人反馈。公示对象对所调查情况有申诉权，要在开会研究前向被调查公示对象通报群众反映的问题，并听取申诉意见。<br/>
	    （四）局党委根据调查结果，召开党委会讨论研究是否批准入党或转正。<br/>
	第四十九条  调查结果分四种情况进行处理：对群众无异议或群众反映有问题但经查确认没有问题的公示对象，按规定程序批准发展入党或转为正式党员；对群众反映有一般性缺点和错误的公示对象，应及时予以提醒和批评教育，确认改正后按程序批准发展入党或转为正式党员；对经查确认群众反映问题属实，不符合入党或转正条件的公示对象，不予批准接收为预备党员或转正；对群众反映的问题性质比较严重，一时难以查实但又不能轻易否定的公示对象，暂缓发展或转正，待查实情况后，再决定是否发展或转正。<br/>
	    第七章     发展党员工作的领导和纪律<br/>
	    第五十条  各级基层党组织要加强发展党员工作的计划性，每年初，应根据发展党员的总体要求及入党积极分子队伍的状况，研究制订年度发展党员工作计划并报局党委工作部备案。<br/>
	    第五十一条  要加强对发展党员工作的领导和指导，党支部书记是直接责任人，支委成员、入党介绍人是具体责任人。发展党员工作要实行“谁介绍谁负责，谁发展谁负责，谁审核谁负责，谁审批谁负责”的原则，使党委、党支部和各有关责任人切实负起责任来，自觉履行发展党员工作有关职责。<br/>
	    第五十二条  各基层党组织要认真贯彻落实发展党员工作的相关规定，保证发展党员工作的质量。要把在发展党员工作中召开的有关会议，特别是党支部确定入党积极分子、发展对象、吸收新党员和预备党员转正大会的会议记录妥善保存，以备检查。<br/>
	    第五十三条  各级党组织对发展党员工作中出现的违纪问题，一定要严肃查处，追究有关责任人的责任。对违反党章规定而被吸收入党的，不予承认，并在支部大会上公布。局党委将对有关责任者进行批评教育，违犯党纪的应给予必要的纪律处分。<br/>
	    第五十四条  各级基层党组织必须把发展党员工作列入重要议事日程，切实加强领导。对发展党员工作的情况，局党委每年要检查一次。<br/>
	    第八章    附则<br/>
	    第五十五条  本实施细则所称申请入党人是指符合申请入党条件，向党组织提出书面入党申请的人。<br/>
	    第五十六条  本实施细则所称入党积极分子是指经党小组（共青团员经团组织）讨论推荐，支委会审查确认的申请入党人中的积极分子。<br/>
	    第五十七条  本实施细则所称发展对象是指经过１年以上培养教育，支委会讨论、确认的基本具备了党员条件的入党积极分子。<br/>
	    第五十八条  局党委原则上每年集中研究发展党员工作两次，受理各支部（总支）上报审批材料时间为：每年5月、11月各一次。<br/>
	    第五十九条  本实施细则由大连市教育局党委工作部负责解释。</p>
</td>
</tr>
</table>


